genres,Total
Documentary,7.611111111111111
War,7.575
History,7.233333333333333
Biography,7.161538461538462
Musical,7.15
Sci-Fi,6.796153846153846
Drama,6.612429378531074
Sport,6.609090909090909
Animation,6.6030303030303035
Adventure,6.5695431472081225
Action,6.564948453608247
Music,6.533333333333334
Mystery,6.362068965517241
Comedy,6.3
Thriller,6.268918918918919
Fantasy,6.250909090909091
Western,6.25
Family,6.151923076923077
Romance,6.130188679245283
Horror,5.693333333333333
